project_name,project_name_crawl,project_name_hd,address,city,district,ward,lat_cdnt,long_cdnt,alias,alias_cum_perc,sector,building,max_building_num,project_name_accent_rm
Việt Đức Complex,Việt Đức Complex,,"164 Khuất Duy Tiến, Phường Nhân Chính, Thanh Xuân, Hà Nội.",TP. Hà Nội,Q. Thanh Xuân,P. Nhân Chính,,,"Bán Chung Cư Lê Văn Lương, Việt Đức Complex, Dự Án Việt Đức Complex, Căn Hộ Chung Cư Việt Đức Complex, Bán Chung Cư Việt Đức Complex",0.9774078478,,,,Viet Duc Complex
Việt Âu,Việt Âu,,"Xã Tân Vinh, Lương Sơn, Hòa Bình.",T. Hòa Bình,H. Lương Sơn,X. Tân Vinh,,,,,,,,Viet Au
Việt Phú Garden,Việt Phú Garden,,"Xã Phong Phú, Bình Chánh, Hồ Chí Minh.",TP. Hồ Chí Minh,H. Bình Chánh,X. Phong Phú,,,Khu Dân Cư Việt Phú Garden,1.0,,,,Viet Phu Garden
Việt Phát South City,Việt Phát South City,,"Đường Dương Đình Nghệ, Phường Vĩnh Niệm, Lê Chân, Hải Phòng.",TP. Hải Phòng,Q. Lê Chân,P. Vĩnh Niệm,,,,,,,,Viet Phat South City
Việt Nhân Villa Riverside,Việt Nhân Villa Riverside,,"Đường Nguyễn Xiển, Phường Trường Thạnh, Quận 9, Hồ Chí Minh.",TP. Hồ Chí Minh,TP. Thủ Đức,P. Trường Thạnh,,,,,,,,Viet Nhan Villa Riverside
Việt Long City,Việt Long City,,"Đường Quốc lộ 18, Phường Yên Thanh, Uông Bí, Quảng Ninh.",T. Quảng Ninh,TP. Uông Bí,P. Yên Thanh,,,,,,,,Viet Long City
Viện 103,Chung cư Viện 103,Chung cư Viện 103,"Đường Yên Xá, Xã Tân Triều, Thanh Trì, Hà Nội.",TP. Hà Nội,H. Thanh Trì,X. Tân Triều,20.968514,105.792474,"Căn Hộ Chung Cư Mekong Plaza, Bán Căn Hộ Chung Cư Tại Chung Cư Viện 103, Căn Hộ Chung Cư Viện 103, Chung Cư Viện 103",1.0,,,,Vien 103
Viễn Đông Star,Viễn Đông Star,Viễn Đông Star,"Số 1 Giáp Nhị, phường Thịnh Liệt, Hoàng Mai, Hà Nội.",TP. Hà Nội,Q. Hoàng Mai,P. Thịnh Liệt,20.977559,105.842743,Viễn Đông Star,0.6373626374,,,,Vien Dong Star
Viễn Đông Meridian,Viễn Đông Meridian,,"84 Hùng Vương, Phường  Hải Châu I, Hải Châu, Đà Nẵng.",TP. Đà Nẵng,Q. Hải Châu,UNK,,,,,,,,Vien Dong Meridian
Viêm Đông Central Park,Viêm Đông Central Park,,"Đường Trường Sa, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng.",TP. Đà Nẵng,Q. Ngũ Hành Sơn,P. Hòa Hải,,,,,,,,Viem Dong Central Park
Viwaseen Tower,Viwaseen Tower,Viwaseen Tower,"46 Đường Tố Hữu, Phường Trung Văn, Nam Từ Liêm, Hà Nội.",TP. Hà Nội,Q. Nam Từ Liêm,P. Trung Văn,20.998149,105.794412,"Bán Căn Hộ Chung Cư Tại Viwaseen Tower, Viwaseen Tower",1.0,,,,Viwaseen Tower
Viva Riverside,Viva Riverside,,"Số 1472 Võ Văn Kiệt, phường 3, quận 6, Tp.HCM.",TP. Hồ Chí Minh,Q. 06,P. 03,,,"Căn Hộ Chung Cư Viva Riverside, Bán Căn Hộ Chung Cư Tại Viva Riverside, Bán Chung Cư Võ Văn Kiệt, Bán Chung Cư Viva Riverside, Viva Riverside",0.9994767138,,,,Viva Riverside
Viva Plaza,Viva Plaza,,"15B Đường Nguyễn Lương Bằng, phường Phú Mỹ, Quận 7, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 07,P. Phú Mỹ,,,"Căn Hộ Chung Cư Happy Dragon, Dự Án Viva Plaza, Viva Plaza, Bán Căn Hộ Chung Cư Tại Viva Plaza",1.0,,,,Viva Plaza
Viva Park,Viva Park,,"Đường Xã Đồi 61, Xã Giang Điền, Trảng Bom, Đồng Nai.",T. Đồng Nai,H. Trảng Bom,X. Giang Điền,,,,,,,,Viva Park
Vithanh Villas,ViThanh Villas,,"Đường Võ Nguyên Giáp, Phường 5, Vị Thanh, Hậu Giang.",T. Hậu Giang,TP. Vị Thanh,P. 05,,,,,,,,Vithanh Villas
Vita Riverside,Vita Riverside,,"Đường ĐT 742, Xã Vĩnh Tân, Tân Uyên, Bình Dương.",T. Bình Dương,TX. Tân Uyên,P. Vĩnh Tân,,,,,,,,Vita Riverside
Vista Verde,Vista Verde,Chung cư Vista Verde,"Số 2 đường Phan Văn Đáng, Phường  Thạnh Mỹ Lợi,  Quận 2, Hồ Chí Minh.",TP. Hồ Chí Minh,TP. Thủ Đức,P. Thạnh Mỹ Lợi,10.77700271,106.7574795,"Bán Chung Cư Vista Verde, Vista Verde, Bán Căn Hộ Chung Cư Tại Vista Verde, Căn Hộ Chung Cư Vista Verde",0.9986956522,,,,Vista Verde
Vista Riverside,Vista Riverside,Chung cư Vista Riverside,"Khu phố Long Thới, Phường Lái Thiêu, Thuận An, Bình Dương.",T. Bình Dương,TP. Thuận An,P. Lái Thiêu,10.89963701,106.695957,Vista Riverside,1.0,,,,Vista Riverside
Vision City,Vision City,,"Đường Dũng Sĩ Điện Ngọc, Xã Điện Ngọc, Điện Bàn, Quảng Nam.",T. Quảng Nam,TX. Điện Bàn,P. Điện Ngọc,,,,,,,,Vision City
Vision Bình Tân,Vision Bình Tân,Chung cư Vision Bình Tân,"Phố Trần Đại Nghĩa, Phường Tân Tạo A, Bình Tân, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. Bình Tân,P. Tân Tạo A,10.725169,106.595147,"Bán Căn Hộ Chung Cư Tại Vision Bình Tân, Khu Phức Hợp Vision, Bán Chung Cư Trần Đại Nghĩa, Vision Bình Tân",0.9964157706,,,,Vision Binh Tan
Vinpearl Condotel Đà Nẵng,Vinpearl Condotel Đà Nẵng,,"Đường Ngô Quyền, Phường  An Hải Bắc, Sơn Trà, Đà Nẵng.",TP. Đà Nẵng,Q. Sơn Trà,P. An Hải Bắc,,,,,,,,Vinpearl Condotel Da Nang
Vinhomes Wonder Park,Vinhomes Wonder Park,,"Xã Tân Hội, Liên Trung, huyện Đan Phượng, Hà Nội.",TP. Hà Nội,H. Đan Phượng,X. Đan Phượng,,,Vinhomes Wonder Park,1.0,,,,Vinhomes Wonder Park
Vinhomes West Point,Vinhomes West Point,Vinhomes West Point,"Đường Phạm Hùng, phường Mễ Trì, quận Nam Từ Liêm, TP. Hà Nội.",TP. Hà Nội,Q. Nam Từ Liêm,P. Mễ Trì,21.0113,105.78591,"Căn Hộ Chung Cư Vinhomes Melodia, Khu Phức Hợp Vinhomes West Point, Vinhomes West Point, Bán Căn Hộ Chung Cư Tại Vinhomes West Point",0.9930167598,,,,Vinhomes West Point
Vinhomes Times City,Park Hill Premium - Times City,Vinhomes Times City,"Số 25 ngõ 13 Lĩnh Nam, phường Mai Động, quận Hoàng Mai, Hà Nội",TP. Hà Nội,Q. Hai Bà Trưng,P. Vĩnh Tuy,20.9920856,105.8690673,"Times City Park Hill, Vinhomes Times City Park Hill, Times City, Park HIll Premium, Chung cư 458 Minh Khai",0.7873106715,"Park Hill Premium: premium,
Park Hill: park, khup,","T, Park",18.0,Vinhomes Times City
Vinhomes Times City,Times City,Vinhomes Times City,"458 Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội.",TP. Hà Nội,Q. Hai Bà Trưng,P. Vĩnh Tuy,20.9920856,105.8690673,"Times City Park Hill, Vinhomes Times City Park Hill, Times City, Park HIll Premium, Chung cư 458 Minh Khai",0.7873106715,"Park Hill Premium: premium,
Park Hill: park, khup,","T, Park",18.0,Vinhomes Times City
Vinhomes Times City,Vinhomes Times City - Park Hill,Vinhomes Times City,"Số 25 ngõ 13 Lĩnh Nam, phường Mai Động, quận Hoàng Mai, Hà Nội",TP. Hà Nội,Q. Hai Bà Trưng,P. Vĩnh Tuy,20.9920856,105.8690673,"Times City Park Hill, Vinhomes Times City Park Hill, Times City, Park HIll Premium, Chung cư 458 Minh Khai",0.7873106715,"Park Hill Premium: premium,
Park Hill: park, khup,","T, Park",18.0,Vinhomes Times City
Vinhomes Thủ Thiêm,Vinhomes Thủ Thiêm,,"Khu đô thị mới Thủ Thiêm, phường An Lợi Đông, quận 2, Tp.HCM.",TP. Hồ Chí Minh,TP. Thủ Đức,P. An Lợi Đông,,,,,,,,Vinhomes Thu Thiem
Vinhomes Thăng Long,Vinhomes Thăng Long,Vinhomes Thăng Long,"Xã An Khánh, Hoài Đức, Hà Nội.",TP. Hà Nội,H. Hoài Đức,X. An Khánh,,,Vinhomes Thăng Long,0.7142857143,,,,Vinhomes Thang Long
Vinhomes The Harmony,Vinhomes The Harmony,Vinhomes Riverside The Harmony,"Phường Việt Hưng, Phúc Lợi, Giang Biên, quận Long Biên, TP. Hà Nội.",TP. Hà Nội,Q. Long Biên,P. Việt Hưng,,,Vinhomes The Harmony,0.5,,,,Vinhomes The Harmony
Vinhomes Symphony Riverside,Vinhomes Symphony Riverside,Vinhomes Symphony,"KĐT Vinhomes Riverside, Phường Việt Hưng, Long Biên, Hà Nội.",TP. Hà Nội,Q. Long Biên,P. Việt Hưng,21.049,105.91764,,,,,,Vinhomes Symphony Riverside
Vinhomes Star City,Vinhomes Star City,,"Đường Lê Lợi, Phường Đông Hải, Thanh Hóa, Thanh Hóa.",T. Thanh Hóa,TP. Thanh Hóa,P. Đông Hải,,,Vinhomes Star City,1.0,,,,Vinhomes Star City
Vinhomes Smart City,The Sakura - Vinhomes Smart City,Vinhomes Smart City,"Khu đô thị Vinhomes Smart City, Phường Đại Mỗ, Quận Nam Từ Liêm, Hà Nội.",TP. Hà Nội,Q. Nam Từ Liêm,P. Đại Mỗ,21.003255,105.736564,Vinhomes Smart City,0.7866862981,"The Sakura: sakura,
The Tonkin: tonkin,
The Miami: miami,
The Ruby: ruby,
The Sapphire: sapphire,
The Victoria: victoria,",,,Vinhomes Smart City
Vinhomes Smart City,The Miami,Vinhomes Smart City,"KĐT Vinhomes Smart City, phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội.",TP. Hà Nội,Q. Nam Từ Liêm,P. Tây Mỗ,21.003255,105.736564,Vinhomes Smart City,0.7866862981,"The Sakura: sakura,
The Tonkin: tonkin,
The Miami: miami,
The Ruby: ruby,
The Sapphire: sapphire,
The Victoria: victoria,",,,Vinhomes Smart City
Vinhomes Smart City,Vinhomes Smart City,Vinhomes Smart City,"Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.",TP. Hà Nội,Q. Nam Từ Liêm,P. Đại Mỗ,21.003255,105.736564,Vinhomes Smart City,0.7866862981,"The Sakura: sakura,
The Tonkin: tonkin,
The Miami: miami,
The Ruby: ruby,
The Sapphire: sapphire,
The Victoria: victoria,",,,Vinhomes Smart City
Vinhomes Skylake,Vinhomes Skylake,Vinhomes Skylake,"Đường Phạm Hùng, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",TP. Hà Nội,Q. Nam Từ Liêm,P. Mỹ Đình 1,21.02039,105.78041,"Bán Chung Cư Vinhomes Skylake, Khu Đô Thị Mới Cầu Giấy, Bán Căn Hộ Chung Cư Tại Vinhomes Skylake, Căn Hộ Chung Cư Vinhomes Skylake, Vinhomes Skylake",0.9865370232,,,,Vinhomes Skylake
Vinhomes Sky Park Bắc Giang,Vinhomes Sky Park Bắc Giang,,"43 Ngô Gia Tự, Phường Trần Phú, Thành phố Bắc Giang, Bắc Giang.",T. Bắc Giang,TP. Bắc Giang,UNK,,,,,,,,Vinhomes Sky Park Bac Giang
Vinhomes Royal City,Royal City,Vinhomes Royal City,"72A Nguyễn Trãi, Phường Thượng Đình, Thanh Xuân, Hà Nội.",TP. Hà Nội,Q. Thanh Xuân,P. Thượng Đình,21.00274147,105.8152377,"Khu Đô Thị Vinhomes Royal City, Royal City, Bán Căn Hộ Chung Cư Tại Royal City, Căn Hộ Chung Cư Royal City",0.9857000993,,,,Vinhomes Royal City
Vinhomes Riverside,Vinhomes Riverside,Vinhomes Riverside,"Phường Việt Hưng, Quận Long Biên, Hà Nội.",TP. Hà Nội,Q. Long Biên,P. Việt Hưng,,,"Bán Căn Hộ Chung Cư Tại Vinhomes Symphony Riverside, Vinhomes Symphony Riverside, Vinhomes Symphony, Căn Hộ Chung Cư Vinhomes Symphony Riverside, Vinhomes Riverside",0.9774475988,,,,Vinhomes Riverside
Vinhomes Ocean Park,The Zenpark,Vinhomes Ocean Park,"Đường Đông Dư, Xã Dương Xá, Gia Lâm, Hà Nội.",TP. Hà Nội,H. Gia Lâm,X. Dương Xá,20.99314,105.94288,Vinhomes Ocean Park Gia Lâm,0.7770696151,"The Ruby: ruby,
The Sapphire: sapphire, s1, s2,
The Pavillion"": pavi,
The Zenpark: zen,",,,Vinhomes Ocean Park
Vinhomes Ocean Park,Vinhomes Ocean Park Gia Lâm,Vinhomes Ocean Park,"Xã Đa Tốn, Kiêu Kỵ, Dương Xá và một phần thị trấn Trâu Quỳ, Gia Lâm, Hà Nội.",TP. Hà Nội,H. Gia Lâm,TT. Trâu Quỳ,20.99314,105.94288,Vinhomes Ocean Park Gia Lâm,0.7770696151,"The Ruby: ruby,
The Sapphire: sapphire, s1, s2,
The Pavillion"": pavi,
The Zenpark: zen,",,,Vinhomes Ocean Park
Vinhomes Ocean Park,The Pavilion,Vinhomes Ocean Park,"Khu đô thị Vinhomes Ocean Park, Đường Lý Thánh Tông, Huyện Gia Lâm, Hà Nội.",TP. Hà Nội,H. Gia Lâm,UNK,20.99314,105.94288,Vinhomes Ocean Park Gia Lâm,0.7770696151,"The Ruby: ruby,
The Sapphire: sapphire, s1, s2,
The Pavillion"": pavi,
The Zenpark: zen,",,,Vinhomes Ocean Park
Vinhomes Nguyễn Chí Thanh,Vinhomes Nguyễn Chí Thanh,Vinhomes Nguyễn Chí Thanh,"54a Nguyễn Chí Thanh, P. Láng Hạ, Q. Đống Đa, TP. Hà Nội.",TP. Hà Nội,Q. Đống Đa,P. Láng Hạ,21.02306337,105.8095904,"Bán Căn Hộ Chung Cư Tại Đường Nguyễn Chí Thanh, Bán Chung Cư Nguyễn Chí Thanh, Căn Hộ Chung Cư Viettronics Tower, Bán Căn Hộ Chung Cư Tại Vinhomes Nguyễn Chí Thanh, Vinhomes Nguyễn Chí Thanh",0.9916727009,,,,Vinhomes Nguyen Chi Thanh
Vinhomes Metropolis,Vinhomes Metropolis - Liễu Giai,Vinhomes Metropolis,"29 Phố Liễu Giai, Phường Ngọc Khánh, Ba Đình, Hà Nội.",TP. Hà Nội,Q. Ba Đình,P. Ngọc Khánh,21.03116,105.81482,"Bán Chung Cư Vinhomes Metropolis, Căn Hộ Chung Cư Vinhomes Metropolis, Vinhomes Metropolis, Vinhomes Metropolis Liễu Giai, Bán Căn Hộ Chung Cư Tại Vinhomes Metropolis Liễu Giai",0.9931954986,,,,Vinhomes Metropolis
Vinhomes Imperia Hải Phòng,Vinhomes Imperia Hải Phòng,,"Phường Thượng Lý, Hồng Bàng, Hải Phòng.",TP. Hải Phòng,Q. Hồng Bàng,P. Thượng Lý,,,,,,,,Vinhomes Imperia Hai Phong
Vinhomes Hà Tĩnh,Vinhomes Hà Tĩnh,Vinhomes Hà Tĩnh,"Đường Hàm Nghi, Phường Thạch Linh, Hà Tĩnh, Hà Tĩnh.",T. Hà Tĩnh,TP. Hà Tĩnh,P. Thạch Linh,,,,,,,,Vinhomes Ha Tinh
Vinhomes Green Bay,Vinhomes Green Bay Mễ Trì,Vinhomes Green Bay,"Số 7 Đại Lộ Thăng Long, phường Mễ Trì, quận Nam Từ Liêm, TP. Hà Nội.",TP. Hà Nội,Q. Nam Từ Liêm,P. Mễ Trì,21.000739,105.7837439,"Bán Căn Hộ Chung Cư Tại Vinhomes Green Bay Mễ Trì, Căn Hộ Chung Cư Vinhomes Greenbay, Vinhomes Green Bay, Khu Đô Thị Mới Vinhomes Green Bay, Vinhomes Green Bay Mễ Trì",0.9838250711,,,,Vinhomes Green Bay
Vinhomes Grand Park,Vinhomes Grand Park,Vinhomes Grand Park,"Phường Long Thạnh Mỹ, quận 9, Tp.HCM.",TP. Hồ Chí Minh,TP. Thủ Đức,P. Long Thạnh Mỹ,10.840037,106.835601,"Vinhomes Grand Park, The Origami Vinhomes Grand Park, The Beverly Vinhomes Grand Park, Vinhomes Grand Park Quận 9",0.7852867349,"The Origami: origami,
The Beverly: beverly,
The Rainbow: rainbow,
The Miyaki: miyako,",,,Vinhomes Grand Park
Vinhomes Grand Park,The Beverly - Vinhomes Grand Park,Vinhomes Grand Park,"Vinhomes Grand Park, Phường Long Thạnh Mỹ,  Quận 9, Hồ Chí Minh.",TP. Hồ Chí Minh,TP. Thủ Đức,P. Long Thạnh Mỹ,10.840037,106.835601,"Vinhomes Grand Park, The Origami Vinhomes Grand Park, The Beverly Vinhomes Grand Park, Vinhomes Grand Park Quận 9",0.7852867349,"The Origami: origami,
The Beverly: beverly,
The Rainbow: rainbow,
The Miyaki: miyako,",,,Vinhomes Grand Park
Vinhomes Grand Park,The Origami - Vinhomes Grand Park,Vinhomes Grand Park,"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ,  Quận 9, Hồ Chí Minh.",TP. Hồ Chí Minh,TP. Thủ Đức,P. Long Thạnh Mỹ,10.840037,106.835601,"Vinhomes Grand Park, The Origami Vinhomes Grand Park, The Beverly Vinhomes Grand Park, Vinhomes Grand Park Quận 9",0.7852867349,"The Origami: origami,
The Beverly: beverly,
The Rainbow: rainbow,
The Miyaki: miyako,",,,Vinhomes Grand Park
Vinhomes Grand Park,The Miyako - Vinhomes Grand Park,Vinhomes Grand Park,"KĐT Vinhomes Grand Park, Phường Long Thạnh Mỹ,  Quận 9, Hồ Chí Minh.",TP. Hồ Chí Minh,TP. Thủ Đức,P. Long Thạnh Mỹ,10.840037,106.835601,"Vinhomes Grand Park, The Origami Vinhomes Grand Park, The Beverly Vinhomes Grand Park, Vinhomes Grand Park Quận 9",0.7852867349,"The Origami: origami,
The Beverly: beverly,
The Rainbow: rainbow,
The Miyaki: miyako,",,,Vinhomes Grand Park
Vinhomes Golden River,Vinhomes Golden River Ba Son,Vinhomes Golden River,"Phố Tôn Đức Thắng, Quận 1, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 01,UNK,10.7866734,106.7101085,"Căn Hộ Chung Cư Luxury 6 Vinhomes Golden River, Khu Biệt Thự The Victoria Vinhomes Golden River, Vinhomes Golden River Bason, Căn Hộ Chung Cư Vinhomes Golden River, Vinhomes Golden River Ba Son",0.9403444034,,,,Vinhomes Golden River
Vinhomes Giảng Võ,Vinhomes Giảng Võ,,"Phố Giảng Võ, Phường Giảng Võ, Ba Đình, Hà Nội.",TP. Hà Nội,Q. Ba Đình,P. Giảng Võ,,,Vinhomes Giảng Võ,1.0,,,,Vinhomes Giang Vo
Vinhomes Gardenia,Vinhomes Gardenia,Vinhomes Gardenia,"Đường Hàm Nghi, Thị trấn Cầu Diễn, Nam Từ Liêm, Hà Nội.",TP. Hà Nội,Q. Nam Từ Liêm,P. Cầu Diễn,21.03529637,105.7603806,"Vinhomes Gardenia, Khu Đô Thị Mới Vinhomes Gardenia, Căn Hộ Chung Cư A4 Hàm Nghi, Bán Căn Hộ Chung Cư Tại Vinhomes Gardenia, Hoàng Thành Pearl",0.9881011403,,,,Vinhomes Gardenia
Vinhomes Galaxy,Vinhomes Galaxy,,"Số 233, 233B và 235 đường Nguyễn Trãi, phường Thượng Đình, quận Thanh Xuân, TP. Hà Nội.",TP. Hà Nội,Q. Thanh Xuân,P. Thượng Đình,,,Vinhomes Galaxy,1.0,,,,Vinhomes Galaxy
Vinhomes Dream City,Vinhomes Dream City,,"Xã Long Hưng, Huyện Văn Giang, Hưng Yên.",T. Hưng Yên,H. Văn Giang,X. Long Hưng,,,,,,,,Vinhomes Dream City
Vinhomes D'Capitale,Vinhomes D'Capitale,D'. Capitale,"Đường Trần Duy Hưng, Phường Trung Hòa, Cầu Giấy, Hà Nội.",TP. Hà Nội,Q. Cầu Giấy,P. Trung Hòa,,,"Căn Hộ Chung Cư Vinhomes D’.Capitale, Bán Căn Hộ Chung Cư Tại Vinhomes D'Capitale, Vinhomes D' Capitale‎ Trần Duy Hưng, Vinhomes D'Capitale, Căn Hộ Chung Cư 48 Trần Duy Hưng",0.9852980487,,,,Vinhomes D'Capitale
Vinhomes Cổ Loa,Vinhomes Cổ Loa,,"Đường Cổ Loa, Xã Đông Hội, Đông Anh, Hà Nội.",TP. Hà Nội,H. Đông Anh,X. Đông Hội,,,Vinhomes Cổ Loa,1.0,,,,Vinhomes Co Loa
Vinhomes Cầu Rào 2,Vinhomes Cầu Rào 2,,"Phường Vĩnh Niệm, Lê Chân, Hải Phòng.",TP. Hải Phòng,Q. Lê Chân,P. Vĩnh Niệm,,,,,,,,Vinhomes Cau Rao 2
Vinhomes Central Park,The Landmark 81 - Vinhomes Central Park,Vinhomes Central Park,"Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. Bình Thạnh,P. 22,10.79487,106.721797,Vinhomes Central Park,0.7954526173,"Central: central,
Park: park,
Landmark: landmark",,,Vinhomes Central Park
Vinhomes Central Park,Vinhomes Central Park,Vinhomes Central Park,"Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. Bình Thạnh,P. 22,10.79487,106.721797,Vinhomes Central Park,0.7954526173,"Central: central,
Park: park,
Landmark: landmark",,,Vinhomes Central Park
Vinhomes Bắc Ninh,Vinhomes Bắc Ninh,Vinhomes Bắc Ninh,"Đường Lý Thái Tổ, phường Suối Hoa, TP. Bắc Ninh, Bắc Ninh.",T. Bắc Ninh,TP. Bắc Ninh,P. Suối Hoa,21.17861,106.07318,,,,,,Vinhomes Bac Ninh
Vinh Plaza,Vinh Plaza,,"3 Phố Mai Hắc Đế, Phường Quán Bàu, Vinh, Nghệ An.",T. Nghệ An,TP. Vinh,P. Quán Bàu,,,,,,,,Vinh Plaza
Vincom Yên Bái,Vincom Yên Bái,Vincom Shophouse Yên Bái,"Đường Thành Công, Phường Nguyễn Thái Học, Yên Bái, Yên Bái.",T. Yên Bái,TP. Yên Bái,P. Nguyễn Thái Học,,,,,,,,Vincom Yen Bai
Vincom Vị Thanh,Vincom Vị Thanh,,"Xã 5, TP. Vị Thanh, Hậu Giang.",T. Hậu Giang,TP. Vị Thanh,UNK,,,,,,,,Vincom Vi Thanh
Vincom Vĩnh Long,Vincom Vĩnh Long,,"Đường Phạm Thái Bường, Phường 4, Vĩnh Long, Vĩnh Long.",T. Vĩnh Long,TP. Vĩnh Long,P. 04,,,,,,,,Vincom Vinh Long
Vincom Tuyên Quang,Vincom Tuyên Quang,,"Đường Quang Trung, phường Phan Thiết, TP. Tuyên Quang, Tuyên Quang.",T. Tuyên Quang,TP. Tuyên Quang,P. Phan Thiết,,,,,,,,Vincom Tuyen Quang
Vincom Thanh Hóa,Vincom Thanh Hóa,,"Đường Trần Phú, Triệu Quốc Đạt, Lê Hoàn, Nguyễn Du, phường Điện Biên, TP. Thanh Hóa, Thanh Hóa.",T. Thanh Hóa,TP. Thanh Hóa,P. Điện Biên,,,,,,,,Vincom Thanh Hoa
Vincom Shophouse Lê Thánh Tông,Vincom Shophouse Lê Thánh Tông,,"Số 1 Đường Lê Thánh Tông, Phường Máy Tơ, Ngô Quyền, Hải Phòng.",TP. Hải Phòng,Q. Ngô Quyền,P. Máy Tơ,,,,,,,,Vincom Shophouse Le Thanh Tong
Vincom Rạch Giá,Vincom Rạch Giá,,"Tôn Đức Thắng, Rạch Giá, Kiên Giang.",T. Kiên Giang,TP. Rạch Giá,UNK,,,,,,,,Vincom Rach Gia
Vincom Plaza Lý Bôn,Vincom Plaza Lý Bôn,,"Đường Lý Bôn, Thái Bình, Thái Bình.",T. Thái Bình,TP. Thái Bình,UNK,,,,,,,,Vincom Plaza Ly Bon
Vincom Hà Tĩnh,Vincom Hà Tĩnh,,"Đường Hà Huy Tập, Hà Tĩnh, Hà Tĩnh.",T. Hà Tĩnh,TP. Hà Tĩnh,UNK,,,,,,,,Vincom Ha Tinh
Vincom Cần Thơ,Vincom Cần Thơ,,"Đường 30/4, Phường Xuân Khánh, Ninh Kiều, Cần Thơ.",TP. Cần Thơ,Q. Ninh Kiều,P. Xuân Khánh,,,,,,,,Vincom Can Tho
Vincom Park Place,Vincom Center Bà Triệu,Vincom Park Place,"191 Bà Triệu, Phường Lê Đại Hành, Hai Bà Trưng, Hà Nội.",TP. Hà Nội,Q. Hai Bà Trưng,P. Lê Đại Hành,21.011317,105.849288,"Bán Căn Hộ Chung Cư Tại Vincom Center Bà Triệu, Vincom Center Bà Triệu, Vincom Park Place",1.0,,,,Vincom Park Place
Vincom Biên Hòa,Vincom Biên Hòa,,"Số 1096 Phạm Văn Thuận, phường Tân Mai, TP. Biên Hòa, Đồng Nai.",T. Đồng Nai,TP. Biên Hòa,P. Tân Mai,,,,,,,,Vincom Bien Hoa
Vincity Thanh Hóa,Vincity Thanh Hóa,,"TP. Thanh Hóa, Thanh Hóa.",T. Thanh Hóa,TP. Thanh Hóa,UNK,,,,,,,,Vincity Thanh Hoa
Vincity Quận 7,Vincity quận 7,,"Quận 7, Tp.HCM.",TP. Hồ Chí Minh,Q. 07,UNK,,,Khu Đô Thị Mới Vincity Quận 9,0.64,,,,Vincity Quan 7
Vincity Nha Trang,Vincity Nha Trang,,"TP. Nha Trang, Khánh Hòa.",T. Khánh Hòa,TP. Nha Trang,UNK,,,,,,,,Vincity Nha Trang
Vincity Hải Phòng,Vincity Hải Phòng,,"Quận Hồng Bàng, TP. Hải Phòng.",TP. Hải Phòng,Q. Hồng Bàng,UNK,,,,,,,,Vincity Hai Phong
Vincity Hưng Yên,Vincity Hưng Yên,,"Xã Long Hưng và Nghĩa Trụ, huyện văn giang, tỉnh Hưng Yên.",T. Hưng Yên,H. Văn Giang,X. Nghĩa Trụ,,,,,,,,Vincity Hung Yen
Vincity Hà Tĩnh,Vincity Hà Tĩnh,,"TP. Hà Tĩnh, Hà Tĩnh.",T. Hà Tĩnh,TP. Hà Tĩnh,UNK,,,,,,,,Vincity Ha Tinh
Vincity Củ Chi,Vincity Củ Chi,,"Thị trấn Củ Chi, Củ Chi, Hồ Chí Minh.",TP. Hồ Chí Minh,H. Củ Chi,TT. Củ Chi,,,,,,,,Vincity Cu Chi
Vinawaco Thịnh Liệt,Vinawaco Thịnh Liệt,,"40 Đường Thịnh Liệt, Phường Thịnh Liệt, Hoàng Mai, Hà Nội.",TP. Hà Nội,Q. Hoàng Mai,P. Thịnh Liệt,,,Vinawaco Thịnh Liệt,1.0,,,,Vinawaco Thinh Liet
Vinata Tower,Vinata Tower,Vinata Tower,"Số 289 Khuất Duy Tiến, phường Trung Hòa, quận Cầu Giấy, Hà Nội.",TP. Hà Nội,Q. Cầu Giấy,P. Trung Hòa,21.002056,105.793547,"Bán Căn Hộ Chung Cư Tại Vinata Tower, Vinata Tower, Căn Hộ Chung Cư Vinata Tower Khuất Duy Tiến",1.0,,,,Vinata Tower
Vinaconex 7,Vinaconex 7,,"Đường K2, Thị trấn Cầu Diễn, Nam Từ Liêm, Hà Nội.",TP. Hà Nội,Q. Nam Từ Liêm,P. Cầu Diễn,,,"Căn Hộ Chung Cư Vinaconex 3, Căn Hộ Chung Cư Vinaconex 7, Căn Hộ Chung Cư 57 Vũ Trọng Phụng, Căn Hộ Chung Cư Khu Văn Phòng Và Nhà Ở Cao Cấp Vinaconex 1, Vinaconex 7",0.5515097691,,,,Vinaconex 7
